z,Load
  -39.75  ,  0.00
  -39.25  ,  0.00
  -38.75  ,  0.00
  -38.25  ,  0.00
  -37.75  ,  0.00
  -37.25  ,  0.00
  -36.75  ,  0.00
  -36.25  ,  0.00
  -35.75  ,  0.00
  -35.25  ,  0.00
  -34.75  ,  0.00
  -34.25  ,  0.00
  -33.75  ,  0.00
  -33.25  ,  0.00
  -32.75  ,  0.00
  -32.25  ,  0.00
  -31.75  ,  0.00
  -31.25  ,  0.00
  -30.75  ,  0.00
  -30.25  ,  0.00
  -29.75  ,  0.00
  -29.25  ,  0.00
  -28.75  ,  0.00
  -28.25  ,  0.00
  -27.75  ,  0.00
  -27.25  ,  0.00
  -26.75  ,  0.00
  -26.25  ,  0.00
  -25.75  ,  0.00
  -25.25  ,  0.00
  -24.75  ,  0.00
  -24.25  ,  0.00
  -23.75  ,  0.00
  -23.25  ,  0.00
  -22.75  ,  0.00
  -22.25  ,  0.00
  -21.75  ,  0.00
  -21.25  ,  0.00
  -20.75  ,  0.00
  -20.25  ,  0.00
  -19.75  ,  0.00
  -19.25  ,  0.00
  -18.75  ,  0.00
  -18.25  ,  0.00
  -17.75  ,  0.00
  -17.25  ,  0.00
  -16.75  ,  0.00
  -16.25  ,  0.00
  -15.75  ,  0.00
  -15.25  ,  0.00
  -14.75  ,  0.00
  -14.25  ,  0.00
  -13.75  ,  0.00
  -13.25  ,  0.00
  -12.75  ,  0.00
  -12.25  ,  0.00
  -11.75  ,  0.00
  -11.25  ,  0.00
  -10.75  ,  0.00
  -10.25  ,  0.00
   -9.75  ,  0.00
   -9.25  ,  0.00
   -8.75  ,  0.00
   -8.25  ,  0.00
   -7.75  ,  0.00
   -7.25  ,  0.00
   -6.75  ,  0.00
   -6.25  ,  0.00
   -5.75  ,  0.00
   -5.25  ,  0.00
   -4.75  ,  0.00
   -4.25  ,  0.00
   -3.75  ,  0.00
   -3.25  ,  0.26
   -2.75  ,  0.73
   -2.25  ,  0.01
   -1.75  ,  0.00
   -1.25  ,  0.00
   -0.75  ,  0.00
   -0.25  ,  0.00
    0.25  ,  0.00
    0.75  ,  0.00
    1.25  ,  0.00
    1.75  ,  0.00
    2.25  ,  0.00
    2.75  ,  0.00
    3.25  ,  0.00
    3.75  ,  0.00
    4.25  ,  0.00
    4.75  ,  0.00
    5.25  ,  0.00
    5.75  ,  0.00
    6.25  ,  0.00
    6.75  ,  0.00
    7.25  ,  0.00
    7.75  ,  0.00
    8.25  ,  0.00
    8.75  ,  0.00
    9.25  ,  0.00
    9.75  ,  0.00
   10.25  ,  0.00
   10.75  ,  0.00
   11.25  ,  0.00
   11.75  ,  0.00
   12.25  ,  0.00
   12.75  ,  0.00
   13.25  ,  0.00
   13.75  ,  0.00
   14.25  ,  0.00
   14.75  ,  0.00
   15.25  ,  0.00
   15.75  ,  0.00
   16.25  ,  0.00
   16.75  ,  0.00
   17.25  ,  0.00
   17.75  ,  0.00
   18.25  ,  0.00
   18.75  ,  0.00
   19.25  ,  0.00
   19.75  ,  0.00
   20.25  ,  0.00
   20.75  ,  0.00
   21.25  ,  0.00
   21.75  ,  0.00
   22.25  ,  0.00
   22.75  ,  0.00
   23.25  ,  0.00
   23.75  ,  0.00
   24.25  ,  0.00
   24.75  ,  0.00
   25.25  ,  0.00
   25.75  ,  0.00
   26.25  ,  0.00
   26.75  ,  0.00
   27.25  ,  0.00
   27.75  ,  0.00
   28.25  ,  0.00
   28.75  ,  0.00
   29.25  ,  0.00
   29.75  ,  0.00
   30.25  ,  0.00
   30.75  ,  0.00
   31.25  ,  0.00
   31.75  ,  0.00
   32.25  ,  0.00
   32.75  ,  0.00
   33.25  ,  0.00
   33.75  ,  0.00
   34.25  ,  0.00
   34.75  ,  0.00
   35.25  ,  0.00
   35.75  ,  0.00
   36.25  ,  0.00
   36.75  ,  0.00
   37.25  ,  0.00
   37.75  ,  0.00
   38.25  ,  0.00
   38.75  ,  0.00
   39.25  ,  0.00
   39.75  ,  0.00
