z,Load
  -39.50,   42.40
  -38.50,   42.41
  -37.50,   42.44
  -36.50,   42.48
  -35.50,   42.44
  -34.50,   42.42
  -33.50,   42.45
  -32.50,   42.50
  -31.50,   42.41
  -30.50,   42.51
  -29.50,   42.45
  -28.50,   42.44
  -27.50,   42.38
  -26.50,   42.30
  -25.50,   42.04
  -24.50,   41.56
  -23.50,   40.61
  -22.50,   39.69
  -21.50,   39.05
  -20.50,   36.56
  -19.50,   33.33
  -18.50,   30.25
  -17.50,   27.08
  -16.50,   22.73
  -15.50,   19.37
  -14.50,   15.76
  -13.50,   13.71
  -12.50,   11.57
  -11.50,    9.30
  -10.50,    7.78
   -9.50,    5.99
   -8.50,    5.50
   -7.50,    5.26
   -6.50,    5.90
   -5.50,    5.87
   -4.50,    6.06
   -3.50,    5.19
   -2.50,    4.20
   -1.50,    3.25
   -0.50,    2.34
    0.50,    1.57
    1.50,    1.67
    2.50,    1.99
    3.50,    1.65
    4.50,    2.16
    5.50,    2.22
    6.50,    3.11
    7.50,    3.68
    8.50,    3.06
    9.50,    3.81
   10.50,    6.11
   11.50,    5.89
   12.50,    8.02
   13.50,   11.06
   14.50,   14.34
   15.50,   18.34
   16.50,   22.18
   17.50,   25.66
   18.50,   28.72
   19.50,   31.76
   20.50,   32.98
   21.50,   35.41
   22.50,   37.94
   23.50,   39.62
   24.50,   41.03
   25.50,   41.80
   26.50,   42.18
   27.50,   42.36
   28.50,   42.47
   29.50,   42.48
   30.50,   42.46
   31.50,   42.53
   32.50,   42.45
   33.50,   42.52
   34.50,   42.45
   35.50,   42.44
   36.50,   42.54
   37.50,   42.44
   38.50,   42.42
   39.50,   41.56
