a,z,Load,mean
 ,  -39.50  , 23.39 , 0 
 ,  -38.50  , 23.21 , 0
 ,  -37.50  , 23.03 , 0
 ,  -36.50  , 22.78 , 0
 ,  -35.50  , 22.46 , 0
 ,  -34.50  , 22.08 , 0
 ,  -33.50  , 21.65 , 0
 ,  -32.50  , 21.11 , 0
 ,  -31.50  , 20.55 , 0
 ,  -30.50  , 20.14 , 0
 ,  -29.50  , 19.74 , 0
 ,  -28.50  , 19.16 , 0
 ,  -27.50  , 18.36 , 0
 ,  -26.50  , 17.36 , 0
 ,  -25.50  , 16.90 , 0
 ,  -24.50  , 15.53 , 0
 ,  -23.50  , 13.41 , 0
 ,  -22.50  , 11.35 , 0
 ,  -21.50  ,  9.03 , 0
 ,  -20.50  ,  7.87 , 0
 ,  -19.50  ,  7.08 , 0
 ,  -18.50  ,  6.08 , 0
 ,  -17.50  ,  6.30 , 0
 ,  -16.50  ,  7.45 , 0
 ,  -15.50  ,  7.44 , 0
 ,  -14.50  ,  6.27 , 0
 ,  -13.50  ,  4.62 , 0
 ,  -12.50  ,  3.53 , 0
 ,  -11.50  ,  3.02 , 0
 ,  -10.50  ,  1.78 , 0
 ,   -9.50  ,  0.79 , 0
 ,   -8.50  ,  0.25 , 0
 ,   -7.50  ,  0.26 , 0
 ,   -6.50  ,  0.45 , 0
 ,   -5.50  ,  0.61 , 0
 ,   -4.50  ,  0.99 , 0
 ,   -3.50  ,  2.02 , 0
 ,   -2.50  ,  1.55 , 0
 ,   -1.50  ,  0.71 , 0
 ,   -0.50  ,  1.13 , 0
 ,    0.50  ,  0.99 , 0
 ,    1.50  ,  1.51 , 0
 ,    2.50  ,  0.91 , 0
 ,    3.50  ,  2.07 , 0
 ,    4.50  ,  3.06 , 0
 ,    5.50  ,  3.37 , 0
 ,    6.50  ,  4.50 , 0
 ,    7.50  ,  4.79 , 0
 ,    8.50  ,  4.13 , 0
 ,    9.50  ,  4.75 , 0
 ,   10.50  ,  5.90 , 0
 ,   11.50  ,  7.55 , 0
 ,   12.50  ,  8.35 , 0
 ,   13.50  ,  8.46 , 0
 ,   14.50  , 10.51 , 0
 ,   15.50  , 11.88 , 0
 ,   16.50  , 13.15 , 0
 ,   17.50  , 15.65 , 0
 ,   18.50  , 18.17 , 0
 ,   19.50  , 19.56 , 0
 ,   20.50  , 20.61 , 0
 ,   21.50  , 21.32 , 0
 ,   22.50  , 21.95 , 0
 ,   23.50  , 22.58 , 0
 ,   24.50  , 23.43 , 0
 ,   25.50  , 24.04 , 0
 ,   26.50  , 23.96 , 0
 ,   27.50  , 23.80 , 0
 ,   28.50  , 23.93 , 0
 ,   29.50  , 23.89 , 0
 ,   30.50  , 23.87 , 0
 ,   31.50  , 23.89 , 0
 ,   32.50  , 23.89 , 0
 ,   33.50  , 23.83 , 0
 ,   34.50  , 23.23 , 0
 ,   35.50  , 20.51 , 0
 ,   36.50  , 15.31 , 0
 ,   37.50  ,  9.97 , 0
 ,   38.50  ,  5.86 , 0
 ,   39.50  ,  3.13 , 0
