z,Load
  -39.50,   65.81
  -38.50,   66.27
  -37.50,   66.29
  -36.50,   66.29
  -35.50,   66.28
  -34.50,   66.29
  -33.50,   66.28
  -32.50,   66.29
  -31.50,   66.22
  -30.50,   66.22
  -29.50,   66.14
  -28.50,   65.97
  -27.50,   65.65
  -26.50,   65.14
  -25.50,   64.20
  -24.50,   62.71
  -23.50,   60.91
  -22.50,   58.43
  -21.50,   55.56
  -20.50,   52.53
  -19.50,   48.48
  -18.50,   44.02
  -17.50,   40.33
  -16.50,   36.89
  -15.50,   32.80
  -14.50,   28.39
  -13.50,   24.34
  -12.50,   20.21
  -11.50,   15.78
  -10.50,   11.10
   -9.50,    8.34
   -8.50,    6.05
   -7.50,    3.32
   -6.50,    2.79
   -5.50,    2.24
   -4.50,    2.65
   -3.50,    2.80
   -2.50,    2.37
   -1.50,    1.53
   -0.50,    1.37
    0.50,    1.36
    1.50,    0.97
    2.50,    1.05
    3.50,    1.74
    4.50,    1.67
    5.50,    2.39
    6.50,    4.00
    7.50,    5.25
    8.50,    7.96
    9.50,   11.30
   10.50,   15.40
   11.50,   20.92
   12.50,   25.05
   13.50,   29.37
   14.50,   34.16
   15.50,   37.93
   16.50,   41.27
   17.50,   45.16
   18.50,   49.07
   19.50,   52.07
   20.50,   54.75
   21.50,   57.41
   22.50,   59.83
   23.50,   62.13
   24.50,   64.11
   25.50,   65.30
   26.50,   65.72
   27.50,   66.10
   28.50,   66.28
   29.50,   66.31
   30.50,   66.29
   31.50,   66.29
   32.50,   66.32
   33.50,   66.26
   34.50,   66.32
   35.50,   66.30
   36.50,   66.27
   37.50,   66.31
   38.50,   66.24
   39.50,   66.01
