z,Load
  -39.50,   41.32
  -38.50,   42.32
  -37.50,   42.34
  -36.50,   42.44
  -35.50,   42.29
  -34.50,   42.39
  -33.50,   42.35
  -32.50,   42.37
  -31.50,   42.36
  -30.50,   42.43
  -29.50,   42.40
  -28.50,   42.37
  -27.50,   42.36
  -26.50,   42.25
  -25.50,   42.07
  -24.50,   41.66
  -23.50,   41.01
  -22.50,   40.20
  -21.50,   39.31
  -20.50,   37.48
  -19.50,   36.00
  -18.50,   34.44
  -17.50,   31.56
  -16.50,   28.98
  -15.50,   26.84
  -14.50,   24.96
  -13.50,   23.25
  -12.50,   20.99
  -11.50,   19.42
  -10.50,   17.28
   -9.50,   14.54
   -8.50,   13.08
   -7.50,   10.94
   -6.50,    9.19
   -5.50,    8.57
   -4.50,    6.75
   -3.50,    4.62
   -2.50,    3.48
   -1.50,    2.90
   -0.50,    2.54
    0.50,    3.43
    1.50,    4.63
    2.50,    5.23
    3.50,    4.51
    4.50,    4.70
    5.50,    4.82
    6.50,    4.89
    7.50,    6.02
    8.50,    7.12
    9.50,    9.36
   10.50,   11.35
   11.50,   12.36
   12.50,   13.67
   13.50,   15.41
   14.50,   16.98
   15.50,   18.91
   16.50,   20.70
   17.50,   23.09
   18.50,   26.82
   19.50,   30.33
   20.50,   32.47
   21.50,   34.52
   22.50,   36.41
   23.50,   37.86
   24.50,   39.07
   25.50,   40.27
   26.50,   41.05
   27.50,   41.45
   28.50,   41.90
   29.50,   42.14
   30.50,   42.29
   31.50,   42.31
   32.50,   42.42
   33.50,   42.41
   34.50,   42.33
   35.50,   42.42
   36.50,   42.36
   37.50,   42.37
   38.50,   42.37
   39.50,   42.10
