z,Load
  -39.50,   55.86
  -38.50,   62.19
  -37.50,   64.93
  -36.50,   65.91
  -35.50,   66.20
  -34.50,   66.18
  -33.50,   66.14
  -32.50,   66.05
  -31.50,   65.86
  -30.50,   65.53
  -29.50,   65.17
  -28.50,   64.66
  -27.50,   63.43
  -26.50,   61.51
  -25.50,   58.35
  -24.50,   54.44
  -23.50,   50.38
  -22.50,   45.78
  -21.50,   40.87
  -20.50,   35.88
  -19.50,   31.79
  -18.50,   27.03
  -17.50,   22.81
  -16.50,   18.57
  -15.50,   14.35
  -14.50,   10.50
  -13.50,    7.39
  -12.50,    5.19
  -11.50,    3.33
  -10.50,    3.06
   -9.50,    2.08
   -8.50,    1.85
   -7.50,    1.38
   -6.50,    0.84
   -5.50,    1.35
   -4.50,    1.53
   -3.50,    2.50
   -2.50,    1.39
   -1.50,    0.39
   -0.50,    0.28
    0.50,    0.35
    1.50,    0.56
    2.50,    2.36
    3.50,    3.69
    4.50,    4.20
    5.50,    7.40
    6.50,    8.79
    7.50,   11.23
    8.50,   14.38
    9.50,   16.18
   10.50,   19.34
   11.50,   24.53
   12.50,   28.44
   13.50,   34.40
   14.50,   40.09
   15.50,   43.75
   16.50,   46.49
   17.50,   48.91
   18.50,   51.44
   19.50,   54.86
   20.50,   57.89
   21.50,   59.80
   22.50,   61.67
   23.50,   63.58
   24.50,   65.02
   25.50,   65.91
   26.50,   66.17
   27.50,   66.22
   28.50,   66.24
   29.50,   66.26
   30.50,   66.23
   31.50,   66.22
   32.50,   66.23
   33.50,   66.22
   34.50,   66.21
   35.50,   66.24
   36.50,   66.23
   37.50,   66.20
   38.50,   66.23
   39.50,   66.18
