z,Load
  -39.50,   64.72
  -38.50,   66.00
  -37.50,   66.30
  -36.50,   66.25
  -35.50,   65.88
  -34.50,   65.12
  -33.50,   63.85
  -32.50,   62.03
  -31.50,   59.41
  -30.50,   56.60
  -29.50,   53.69
  -28.50,   50.07
  -27.50,   46.45
  -26.50,   43.04
  -25.50,   39.82
  -24.50,   36.56
  -23.50,   32.57
  -22.50,   28.48
  -21.50,   24.60
  -20.50,   21.43
  -19.50,   18.43
  -18.50,   14.18
  -17.50,    9.90
  -16.50,    7.07
  -15.50,    5.11
  -14.50,    3.49
  -13.50,    2.74
  -12.50,    2.58
  -11.50,    1.43
  -10.50,    1.13
   -9.50,    0.91
   -8.50,    1.04
   -7.50,    1.12
   -6.50,    1.41
   -5.50,    1.73
   -4.50,    1.84
   -3.50,    2.46
   -2.50,    3.02
   -1.50,    2.19
   -0.50,    2.39
    0.50,    3.04
    1.50,    3.98
    2.50,    5.78
    3.50,    8.12
    4.50,   10.23
    5.50,   13.83
    6.50,   18.18
    7.50,   22.99
    8.50,   27.83
    9.50,   31.43
   10.50,   35.18
   11.50,   39.83
   12.50,   44.68
   13.50,   49.37
   14.50,   54.32
   15.50,   58.81
   16.50,   61.81
   17.50,   63.60
   18.50,   64.83
   19.50,   65.56
   20.50,   65.87
   21.50,   66.13
   22.50,   66.29
   23.50,   66.38
   24.50,   66.39
   25.50,   66.43
   26.50,   66.49
   27.50,   66.46
   28.50,   66.47
   29.50,   66.48
   30.50,   66.46
   31.50,   66.46
   32.50,   66.48
   33.50,   66.46
   34.50,   66.46
   35.50,   66.47
   36.50,   66.44
   37.50,   66.35
   38.50,   65.81
   39.50,   64.15
