z,Load
  -39.50  , 23.60
  -38.50  , 22.94
  -37.50  , 22.23
  -36.50  , 22.06
  -35.50  , 22.39
  -34.50  , 22.30
  -33.50  , 22.05
  -32.50  , 21.13
  -31.50  , 19.72
  -30.50  , 18.82
  -29.50  , 18.57
  -28.50  , 19.19
  -27.50  , 19.70
  -26.50  , 18.81
  -25.50  , 17.50
  -24.50  , 15.30
  -23.50  , 12.51
  -22.50  , 10.48
  -21.50  ,  8.58
  -20.50  ,  6.27
  -19.50  ,  5.46
  -18.50  ,  6.21
  -17.50  ,  9.92
  -16.50  ,  7.83
  -15.50  ,  5.80
  -14.50  ,  5.45
  -13.50  ,  5.50
  -12.50  ,  3.95
  -11.50  ,  1.83
  -10.50  ,  1.10
   -9.50  ,  0.49
   -8.50  ,  0.53
   -7.50  ,  0.88
   -6.50  ,  1.05
   -5.50  ,  0.96
   -4.50  ,  1.90
   -3.50  ,  2.06
   -2.50  ,  0.49
   -1.50  ,  1.56
   -0.50  ,  0.28
    0.50  ,  1.36
    1.50  ,  0.68
    2.50  ,  2.24
    3.50  ,  2.48
    4.50  ,  2.08
    5.50  ,  3.00
    6.50  ,  4.21
    7.50  ,  6.21
    8.50  ,  6.70
    9.50  ,  7.29
   10.50  ,  8.90
   11.50  ,  6.97
   12.50  ,  6.73
   13.50  , 10.24
   14.50  , 12.14
   15.50  , 16.14
   16.50  , 15.80
   17.50  , 17.35
   18.50  , 20.08
   19.50  , 21.30
   20.50  , 22.51
   21.50  , 23.21
   22.50  , 24.07
   23.50  , 24.06
   24.50  , 23.70
   25.50  , 23.92
   26.50  , 23.90
   27.50  , 23.84
   28.50  , 23.87
   29.50  , 23.88
   30.50  , 23.82
   31.50  , 23.89
   32.50  , 23.86
   33.50  , 23.83
   34.50  , 23.85
   35.50  , 14.58
   36.50  ,  0.05
   37.50  ,  0.00
   38.50  ,  0.00
   39.50  ,  0.00
