z,Load
  -39.50,   23.72
  -38.50,   23.73
  -37.50,   23.72
  -36.50,   23.74
  -35.50,   23.71
  -34.50,   23.70
  -33.50,   23.72
  -32.50,   23.71
  -31.50,   23.73
  -30.50,   23.74
  -29.50,   23.61
  -28.50,   23.68
  -27.50,   23.61
  -26.50,   22.33
  -25.50,   22.30
  -24.50,   20.95
  -23.50,   17.79
  -22.50,   15.96
  -21.50,   12.69
  -20.50,    9.52
  -19.50,    7.81
  -18.50,    6.63
  -17.50,    4.95
  -16.50,    3.62
  -15.50,    5.08
  -14.50,    2.52
  -13.50,    2.80
  -12.50,    1.75
  -11.50,    2.86
  -10.50,    1.84
   -9.50,    1.22
   -8.50,    1.80
   -7.50,    0.54
   -6.50,    0.99
   -5.50,    1.18
   -4.50,    1.10
   -3.50,    1.97
   -2.50,    0.42
   -1.50,    0.04
   -0.50,    0.05
    0.50,    0.20
    1.50,    1.61
    2.50,    2.83
    3.50,    2.56
    4.50,    4.26
    5.50,    4.97
    6.50,    5.95
    7.50,    7.28
    8.50,    7.66
    9.50,    9.41
   10.50,   12.34
   11.50,   11.98
   12.50,   14.15
   13.50,   16.64
   14.50,   16.48
   15.50,   17.74
   16.50,   17.72
   17.50,   19.27
   18.50,   18.97
   19.50,   18.26
   20.50,   20.31
   21.50,   19.74
   22.50,   20.75
   23.50,   23.26
   24.50,   23.20
   25.50,   23.41
   26.50,   23.63
   27.50,   24.00
   28.50,   23.70
   29.50,   23.71
   30.50,   23.82
   31.50,   23.72
   32.50,   23.73
   33.50,   23.78
   34.50,   23.71
   35.50,   23.77
   36.50,   23.71
   37.50,   23.71
   38.50,   23.79
   39.50,   13.51
