z,Load
  -39.50,   23.72
  -38.50,   23.76
  -37.50,   23.72
  -36.50,   23.76
  -35.50,   23.80
  -34.50,   23.95
  -33.50,   23.43
  -32.50,   23.10
  -31.50,   22.57
  -30.50,   22.45
  -29.50,   22.45
  -28.50,   21.94
  -27.50,   21.88
  -26.50,   21.07
  -25.50,   19.83
  -24.50,   18.47
  -23.50,   18.24
  -22.50,   18.42
  -21.50,   16.45
  -20.50,   13.32
  -19.50,   13.02
  -18.50,    9.05
  -17.50,    6.51
  -16.50,    4.03
  -15.50,    3.83
  -14.50,    4.15
  -13.50,    4.32
  -12.50,    2.95
  -11.50,    2.11
  -10.50,    1.50
   -9.50,    1.91
   -8.50,    2.21
   -7.50,    1.97
   -6.50,    2.36
   -5.50,    2.16
   -4.50,    2.24
   -3.50,    3.40
   -2.50,    2.96
   -1.50,    2.42
   -0.50,    2.49
    0.50,    2.83
    1.50,    3.09
    2.50,    5.07
    3.50,    4.69
    4.50,    5.05
    5.50,    5.67
    6.50,    5.48
    7.50,    4.93
    8.50,    5.55
    9.50,    5.76
   10.50,    7.05
   11.50,    8.41
   12.50,    9.98
   13.50,    9.92
   14.50,   10.48
   15.50,   14.20
   16.50,   16.57
   17.50,   17.92
   18.50,   19.21
   19.50,   21.67
   20.50,   22.22
   21.50,   23.03
   22.50,   23.83
   23.50,   23.50
   24.50,   23.69
   25.50,   23.79
   26.50,   23.70
   27.50,   23.75
   28.50,   23.73
   29.50,   23.73
   30.50,   23.75
   31.50,   23.72
   32.50,   23.74
   33.50,   23.75
   34.50,   23.71
   35.50,   23.75
   36.50,   23.73
   37.50,   23.74
   38.50,   22.87
   39.50,    4.57
