z,Load
  -39.50,   23.77
  -38.50,   23.81
  -37.50,   23.75
  -36.50,   23.88
  -35.50,   23.59
  -34.50,   23.98
  -33.50,   22.84
  -32.50,   19.79
  -31.50,   18.00
  -30.50,   17.48
  -29.50,   16.48
  -28.50,   16.61
  -27.50,   16.86
  -26.50,   15.46
  -25.50,   14.32
  -24.50,   12.90
  -23.50,   12.86
  -22.50,   12.15
  -21.50,    9.89
  -20.50,    8.30
  -19.50,    6.64
  -18.50,    5.48
  -17.50,    4.17
  -16.50,    2.70
  -15.50,    1.88
  -14.50,    1.09
  -13.50,    0.92
  -12.50,    0.26
  -11.50,    0.32
  -10.50,    0.61
   -9.50,    1.02
   -8.50,    0.70
   -7.50,    0.85
   -6.50,    1.81
   -5.50,    2.42
   -4.50,    2.65
   -3.50,    3.02
   -2.50,    1.97
   -1.50,    1.80
   -0.50,    2.45
    0.50,    2.90
    1.50,    3.61
    2.50,    4.23
    3.50,    3.79
    4.50,    5.21
    5.50,    7.46
    6.50,    9.44
    7.50,    9.56
    8.50,   10.23
    9.50,    9.94
   10.50,   11.27
   11.50,   12.99
   12.50,   13.48
   13.50,   15.96
   14.50,   18.26
   15.50,   20.03
   16.50,   20.89
   17.50,   22.57
   18.50,   24.02
   19.50,   22.75
   20.50,   23.57
   21.50,   24.08
   22.50,   23.75
   23.50,   23.79
   24.50,   23.88
   25.50,   23.79
   26.50,   23.81
   27.50,   23.81
   28.50,   23.80
   29.50,   23.77
   30.50,   23.80
   31.50,   23.80
   32.50,   23.78
   33.50,   12.05
   34.50,    0.00
   35.50,    0.00
   36.50,    0.00
   37.50,    0.00
   38.50,    0.00
   39.50,    0.00
