z,Load
  -39.50,   23.74
  -38.50,   23.79
  -37.50,   23.76
  -36.50,   23.77
  -35.50,   23.78
  -34.50,   23.78
  -33.50,   23.77
  -32.50,   23.75
  -31.50,   23.74
  -30.50,   23.79
  -29.50,   23.76
  -28.50,   23.78
  -27.50,   23.77
  -26.50,   23.79
  -25.50,   23.82
  -24.50,   23.58
  -23.50,   24.04
  -22.50,   23.32
  -21.50,   22.76
  -20.50,   22.32
  -19.50,   20.38
  -18.50,   19.56
  -17.50,   18.24
  -16.50,   16.30
  -15.50,   14.75
  -14.50,   11.48
  -13.50,    9.03
  -12.50,    7.11
  -11.50,    7.28
  -10.50,    6.83
   -9.50,    5.72
   -8.50,    4.36
   -7.50,    3.04
   -6.50,    3.13
   -5.50,    3.55
   -4.50,    4.42
   -3.50,    4.64
   -2.50,    4.50
   -1.50,    4.36
   -0.50,    3.66
    0.50,    2.42
    1.50,    1.65
    2.50,    2.42
    3.50,    2.22
    4.50,    3.66
    5.50,    3.88
    6.50,    3.96
    7.50,    3.60
    8.50,    4.35
    9.50,    4.14
   10.50,    5.37
   11.50,    8.51
   12.50,    9.45
   13.50,   11.29
   14.50,   13.08
   15.50,   12.43
   16.50,   15.29
   17.50,   15.99
   18.50,   16.62
   19.50,   17.02
   20.50,   18.12
   21.50,   19.24
   22.50,   20.54
   23.50,   22.22
   24.50,   23.66
   25.50,   23.85
   26.50,   23.56
   27.50,   23.81
   28.50,   23.88
   29.50,   23.73
   30.50,   23.76
   31.50,   23.81
   32.50,   23.80
   33.50,   23.74
   34.50,   23.80
   35.50,   23.77
   36.50,   23.77
   37.50,   23.81
   38.50,   23.75
   39.50,   23.76
