z,Load
  -39.50,   23.88
  -38.50,   23.92
  -37.50,   23.85
  -36.50,   23.96
  -35.50,   23.90
  -34.50,   24.07
  -33.50,   23.56
  -32.50,   23.25
  -31.50,   22.68
  -30.50,   22.65
  -29.50,   22.54
  -28.50,   22.03
  -27.50,   22.20
  -26.50,   21.38
  -25.50,   19.42
  -24.50,   18.09
  -23.50,   17.82
  -22.50,   17.98
  -21.50,   16.71
  -20.50,   13.18
  -19.50,   12.69
  -18.50,    8.95
  -17.50,    6.49
  -16.50,    3.71
  -15.50,    3.51
  -14.50,    4.15
  -13.50,    3.97
  -12.50,    3.33
  -11.50,    2.28
  -10.50,    1.71
   -9.50,    2.13
   -8.50,    2.27
   -7.50,    1.94
   -6.50,    2.35
   -5.50,    2.11
   -4.50,    2.33
   -3.50,    3.33
   -2.50,    2.84
   -1.50,    2.27
   -0.50,    2.43
    0.50,    2.90
    1.50,    3.33
    2.50,    5.17
    3.50,    4.71
    4.50,    4.94
    5.50,    5.52
    6.50,    5.39
    7.50,    5.06
    8.50,    5.80
    9.50,    6.27
   10.50,    7.66
   11.50,    8.82
   12.50,   10.23
   13.50,    9.65
   14.50,   10.11
   15.50,   13.77
   16.50,   16.86
   17.50,   18.34
   18.50,   19.47
   19.50,   21.80
   20.50,   22.28
   21.50,   23.32
   22.50,   24.00
   23.50,   23.60
   24.50,   23.83
   25.50,   23.92
   26.50,   23.85
   27.50,   23.89
   28.50,   23.88
   29.50,   23.87
   30.50,   23.86
   31.50,   23.88
   32.50,   23.87
   33.50,   23.88
   34.50,   23.87
   35.50,   23.85
   36.50,   23.88
   37.50,   23.88
   38.50,   20.85
   39.50,    1.84
