z,Load
  -39.50,   23.78
  -38.50,   23.82
  -37.50,   23.81
  -36.50,   23.89
  -35.50,   23.59
  -34.50,   24.01
  -33.50,   22.77
  -32.50,   20.03
  -31.50,   18.36
  -30.50,   18.22
  -29.50,   16.90
  -28.50,   17.01
  -27.50,   16.63
  -26.50,   15.49
  -25.50,   14.73
  -24.50,   13.35
  -23.50,   13.28
  -22.50,   12.48
  -21.50,   10.42
  -20.50,    8.88
  -19.50,    7.02
  -18.50,    6.00
  -17.50,    4.69
  -16.50,    3.17
  -15.50,    2.28
  -14.50,    0.97
  -13.50,    1.06
  -12.50,    0.25
  -11.50,    0.28
  -10.50,    0.66
   -9.50,    1.09
   -8.50,    0.63
   -7.50,    0.88
   -6.50,    1.65
   -5.50,    2.38
   -4.50,    2.96
   -3.50,    3.03
   -2.50,    2.00
   -1.50,    1.92
   -0.50,    2.53
    0.50,    3.10
    1.50,    3.79
    2.50,    4.56
    3.50,    4.05
    4.50,    5.31
    5.50,    7.46
    6.50,    9.56
    7.50,    9.27
    8.50,   10.21
    9.50,    9.76
   10.50,   10.73
   11.50,   12.67
   12.50,   13.27
   13.50,   15.59
   14.50,   17.69
   15.50,   19.50
   16.50,   20.51
   17.50,   22.41
   18.50,   23.99
   19.50,   22.74
   20.50,   23.68
   21.50,   24.12
   22.50,   23.74
   23.50,   23.87
   24.50,   23.87
   25.50,   23.81
   26.50,   23.83
   27.50,   23.84
   28.50,   23.83
   29.50,   23.84
   30.50,   23.83
   31.50,   23.81
   32.50,   23.81
   33.50,    9.58
   34.50,    0.00
   35.50,    0.00
   36.50,    0.00
   37.50,    0.00
   38.50,    0.00
   39.50,    0.00
