z,Load
  -39.50  , 23.61
  -38.50  , 22.99
  -37.50  , 22.36
  -36.50  , 22.26
  -35.50  , 22.37
  -34.50  , 22.34
  -33.50  , 22.19
  -32.50  , 21.18
  -31.50  , 19.97
  -30.50  , 18.89
  -29.50  , 18.56
  -28.50  , 19.22
  -27.50  , 19.91
  -26.50  , 19.40
  -25.50  , 18.54
  -24.50  , 15.86
  -23.50  , 12.85
  -22.50  , 10.68
  -21.50  ,  8.90
  -20.50  ,  6.79
  -19.50  ,  5.13
  -18.50  ,  5.98
  -17.50  ,  9.70
  -16.50  ,  6.84
  -15.50  ,  5.61
  -14.50  ,  5.00
  -13.50  ,  4.17
  -12.50  ,  3.86
  -11.50  ,  2.26
  -10.50  ,  1.13
   -9.50  ,  0.40
   -8.50  ,  0.08
   -7.50  ,  0.18
   -6.50  ,  0.48
   -5.50  ,  1.09
   -4.50  ,  2.08
   -3.50  ,  2.16
   -2.50  ,  0.40
   -1.50  ,  1.80
   -0.50  ,  0.29
    0.50  ,  1.49
    1.50  ,  0.49
    2.50  ,  2.35
    3.50  ,  2.31
    4.50  ,  2.34
    5.50  ,  2.95
    6.50  ,  3.72
    7.50  ,  5.70
    8.50  ,  5.66
    9.50  ,  5.47
   10.50  ,  7.98
   11.50  ,  6.34
   12.50  ,  6.21
   13.50  ,  9.81
   14.50  , 12.11
   15.50  , 15.53
   16.50  , 15.41
   17.50  , 16.88
   18.50  , 19.38
   19.50  , 21.21
   20.50  , 22.37
   21.50  , 22.87
   22.50  , 23.91
   23.50  , 24.17
   24.50  , 23.76
   25.50  , 23.87
   26.50  , 23.98
   27.50  , 23.89
   28.50  , 23.85
   29.50  , 23.91
   30.50  , 23.88
   31.50  , 23.85
   32.50  , 23.89
   33.50  , 23.87
   34.50  , 23.87
   35.50  , 15.33
   36.50  ,  0.06
   37.50  ,  0.00
   38.50  ,  0.00
   39.50  ,  0.00
