z,Load
  -39.50 ,  23.70
  -38.50 ,  23.79
  -37.50 ,  23.68
  -36.50 ,  23.35
  -35.50 ,  23.33
  -34.50 ,  23.41
  -33.50 ,  22.59
  -32.50 ,  22.20
  -31.50 ,  21.35
  -30.50 ,  21.17
  -29.50 ,  21.21
  -28.50 ,  19.03
  -27.50 ,  18.35
  -26.50 ,  18.07
  -25.50 ,  17.02
  -24.50 ,  15.36
  -23.50 ,  13.88
  -22.50 ,  13.23
  -21.50 ,  12.60
  -20.50 ,  11.78
  -19.50 ,  10.61
  -18.50 ,   8.04
  -17.50 ,   6.30
  -16.50 ,   7.40
  -15.50 ,   6.05
  -14.50 ,   4.47
  -13.50 ,   2.91
  -12.50 ,   2.20
  -11.50 ,   2.21
  -10.50 ,   1.75
   -9.50 ,   0.70
   -8.50 ,   0.00
   -7.50 ,   0.00
   -6.50 ,   0.01
   -5.50 ,   0.14
   -4.50 ,   1.61
   -3.50 ,   0.38
   -2.50 ,   0.95
   -1.50 ,   0.95
   -0.50 ,   0.81
    0.50 ,   1.41
    1.50 ,   1.47
    2.50 ,   2.65
    3.50 ,   2.60
    4.50 ,   3.02
    5.50 ,   3.95
    6.50 ,   4.59
    7.50 ,   4.96
    8.50 ,   5.80
    9.50 ,   5.92
   10.50 ,   8.63
   11.50 ,  11.39
   12.50 ,  12.33
   13.50 ,  13.31
   14.50 ,  15.85
   15.50 ,  16.41
   16.50 ,  17.55
   17.50 ,  19.10
   18.50 ,  20.91
   19.50 ,  22.44
   20.50 ,  23.19
   21.50 ,  23.78
   22.50 ,  23.53
   23.50 ,  23.91
   24.50 ,  23.84
   25.50 ,  23.72
   26.50 ,  23.79
   27.50 ,  23.76
   28.50 ,  23.75
   29.50 ,  23.75
   30.50 ,  23.77
   31.50 ,  23.74
   32.50 ,  23.74
   33.50 ,  23.73
   34.50 ,  23.75
   35.50 ,  20.54
   36.50 ,   0.91
   37.50 ,   0.00
   38.50 ,   0.00
   39.50 ,   0.00
